x1,x2_1,x2_2,y1_1,y1_2,y2,a1,a2,x11,x12_1,x12_2,y11_1,y11_2,y12,r,d
0.039517872,-0.018382503,-0.018382503,0.99999666,-0.00258553,0.025593499,0.0,1.0,0.03878257,0.07919697,0.07919697,0.99999785,-0.0020736614,-0.26790407,1.0,0.0
0.03878257,0.07919697,0.07919697,0.99999785,-0.0020736614,-0.26790407,1.0,0.0,0.04195045,-0.018349184,-0.018349184,0.9999724,-0.007431676,0.024124088,0.0,0.0
0.04195045,-0.018349184,-0.018349184,0.9999724,-0.007431676,0.024124088,1.0,0.0,0.04121648,-0.115856476,-0.115856476,0.99997586,-0.006949207,0.31445298,0.0,0.0
0.04121648,-0.115856476,-0.115856476,0.99997586,-0.006949207,0.31445298,1.0,0.0,0.036582224,-0.21336761,-0.21336761,0.99999976,-0.000660203,0.60493624,0.0,0.0
0.036582224,-0.21336761,-0.21336761,0.99999976,-0.000660203,0.60493624,1.0,0.0,0.028047519,-0.31092396,-0.31092396,0.99993455,0.011438273,0.89741117,0.0,0.0
0.028047519,-0.31092396,-0.31092396,0.99993455,0.011438273,0.89741117,0.0,1.0,0.015610561,-0.21344145,-0.21344145,0.9995682,0.029382516,0.60834557,0.0,0.0
0.015610561,-0.21344145,-0.21344145,0.9995682,0.029382516,0.60834557,0.0,1.0,0.0070729028,-0.11609192,-0.11609192,0.99913675,0.0415417,0.32506156,0.0,0.0
0.0070729028,-0.11609192,-0.11609192,0.99913675,0.0415417,0.32506156,1.0,0.0,0.0024292257,-0.21393603,-0.21393603,0.9988456,0.048036397,0.6305538,0.0,0.0
0.0024292257,-0.21393603,-0.21393603,0.9988456,0.048036397,0.6305538,1.0,0.0,-0.006128215,-0.31181523,-0.31181523,0.99816036,0.060628757,0.93797505,0.0,0.0
-0.006128215,-0.31181523,-0.31181523,0.99816036,0.060628757,0.93797505,1.0,0.0,-0.018600825,-0.4097578,-0.4097578,0.99684745,0.079341985,1.2490871,0.0,0.0
-0.018600825,-0.4097578,-0.4097578,0.99684745,0.079341985,1.2490871,0.0,1.0,-0.034991134,-0.31274825,-0.31274825,0.9945545,0.10421762,0.9823025,0.0,0.0
-0.034991134,-0.31274825,-0.31274825,0.9945545,0.10421762,0.9823025,1.0,0.0,-0.047501065,-0.4109254,-0.4109254,0.99231523,0.12373532,1.30587,0.0,0.0
-0.047501065,-0.4109254,-0.4109254,0.99231523,0.12373532,1.30587,1.0,0.0,-0.06393808,-0.50915384,-0.50915384,0.98874557,0.14960687,1.6346691,0.0,0.0
-0.06393808,-0.50915384,-0.50915384,0.98874557,0.14960687,1.6346691,0.0,1.0,-0.084304236,-0.4126167,-0.4126167,0.9833269,0.1818466,1.3923013,0.0,0.0
-0.084304236,-0.4126167,-0.4126167,0.9833269,0.1818466,1.3923013,1.0,0.0,-0.1008089,-0.51104975,-0.51104975,0.9778826,0.20915431,1.7361399,0.0,1.0
-0.04790393,-0.011919514,-0.011919514,0.99995446,0.009543236,-0.039856818,1.0,0.0,-0.04838071,-0.10954826,-0.10954826,0.99996173,0.008746133,0.2558218,1.0,0.0
-0.04838071,-0.10954826,-0.10954826,0.99996173,0.008746133,0.2558218,0.0,1.0,-0.052762643,-0.012050265,-0.012050265,0.9999039,0.013862236,-0.03408964,0.0,0.0
-0.052762643,-0.012050265,-0.012050265,0.9999039,0.013862236,-0.03408964,0.0,1.0,-0.05324465,0.085409954,0.085409954,0.99991316,0.013180506,-0.3223667,0.0,0.0
-0.05324465,0.085409954,0.085409954,0.99991316,0.013180506,-0.3223667,0.0,1.0,-0.049828254,0.18287586,0.18287586,0.99997735,0.0067335027,-0.6108639,0.0,0.0
-0.049828254,0.18287586,0.18287586,0.99997735,0.0067335027,-0.6108639,1.0,0.0,-0.042513218,0.08526815,0.08526815,0.999985,-0.0054836976,-0.3160678,0.0,0.0
-0.042513218,0.08526815,0.08526815,0.999985,-0.0054836976,-0.3160678,1.0,0.0,-0.039102495,-0.012253562,-0.012253562,0.9999303,-0.011804807,-0.025119286,0.0,0.0
-0.039102495,-0.012253562,-0.012253562,0.9999303,-0.011804807,-0.025119286,1.0,0.0,-0.039592635,-0.1097289,-0.1097289,0.99992424,-0.012307156,0.26381576,0.0,0.0
-0.039592635,-0.1097289,-0.1097289,0.99992424,-0.012307156,0.26381576,0.0,1.0,-0.04398179,-0.012081184,-0.012081184,0.99997526,-0.007031094,-0.032723527,0.0,0.0
-0.04398179,-0.012081184,-0.012081184,0.99997526,-0.007031094,-0.032723527,1.0,0.0,-0.04446504,-0.109591395,-0.109591395,0.99997044,-0.0076855468,0.25773272,0.0,0.0
