x1,x2,x2_,a1,a2,x1_,x2_,x2__,r,d
-0.44906503,0.0,0.0,0.0,0.0,-0.4506194,-0.00077717825,-0.00077717825,1.0,0.0
-0.4506194,-0.00077717825,-0.00077717825,1.0,1.0,-0.45171672,-0.00054866985,-0.00054866985,0.0,0.0
-0.45171672,-0.00054866985,-0.00054866985,0.0,0.0,-0.454349,-0.0013161432,-0.0013161432,0.0,0.0
-0.454349,-0.0013161432,-0.0013161432,0.0,0.0,-0.45849696,-0.00207396575,-0.00207396575,0.0,0.0
-0.45849696,-0.00207396575,-0.00207396575,0.0,0.0,-0.46413004,-0.0028165485,-0.0028165485,0.0,0.0
-0.46413004,-0.0028165485,-0.0028165485,0.0,0.0,-0.47120678,-0.00353837525,-0.00353837525,0.0,0.0
-0.47120678,-0.00353837525,-0.00353837525,0.5,0.5,-0.47867486,-0.0037340373,-0.0037340373,0.0,0.0
-0.47867486,-0.0037340373,-0.0037340373,0.0,0.0,-0.48747885,-0.0044019925,-0.0044019925,0.0,0.0
-0.48747885,-0.0044019925,-0.0044019925,0.5,0.5,-0.4965532,-0.0045371775,-0.0045371775,0.0,0.0
-0.4965532,-0.0045371775,-0.0045371775,1.0,1.0,-0.5048302,-0.004138487,-0.004138487,0.0,0.0
-0.5048302,-0.004138487,-0.004138487,0.5,0.5,-0.51324785,-0.004208832,-0.004208832,0.0,0.0
-0.51324785,-0.004208832,-0.004208832,0.0,0.0,-0.5227431,-0.00474764175,-0.00474764175,0.0,0.0
-0.5227431,-0.00474764175,-0.00474764175,0.0,0.0,-0.53324485,-0.00525085,-0.00525085,0.0,0.0
-0.53324485,-0.00525085,-0.00525085,0.5,0.5,-0.5436742,-0.005214683,-0.005214683,0.0,0.0
-0.5436742,-0.005214683,-0.005214683,0.0,0.0,-0.5549531,-0.0056394455,-0.0056394455,0.0,0.0
-0.5549531,-0.0056394455,-0.0056394455,0.5,0.5,-0.5659972,-0.00552204,-0.00552204,0.0,0.0
-0.5659972,-0.00552204,-0.00552204,0.5,0.5,-0.5767241,-0.0053634745,-0.0053634745,0.0,0.0
-0.5767241,-0.0053634745,-0.0053634745,0.0,0.0,-0.5880543,-0.0056650965,-0.0056650965,0.0,0.0
-0.5880543,-0.0056650965,-0.0056650965,0.0,0.0,-0.59990406,-0.0059248915,-0.0059248915,0.0,0.0
-0.59990406,-0.0059248915,-0.0059248915,1.0,1.0,-0.6101866,-0.0051412395,-0.0051412395,0.0,0.0
-0.6101866,-0.0051412395,-0.0051412395,0.5,0.5,-0.6198269,-0.0048201745,-0.0048201745,0.0,0.0
-0.6198269,-0.0048201745,-0.0048201745,0.0,0.0,-0.62975556,-0.0049643105,-0.0049643105,0.0,0.0
-0.62975556,-0.0049643105,-0.0049643105,1.0,1.0,-0.63790137,-0.004072918,-0.004072918,0.0,0.0
-0.63790137,-0.004072918,-0.004072918,0.5,0.5,-0.64520663,-0.003652634,-0.003652634,0.0,0.0
-0.64520663,-0.003652634,-0.003652634,0.5,0.5,-0.65162,-0.0032066535,-0.0032066535,0.0,0.0
-0.65162,-0.0032066535,-0.0032066535,0.0,0.0,-0.65809655,-0.0032382896,-0.0032382896,0.0,0.0
-0.65809655,-0.0032382896,-0.0032382896,0.5,0.5,-0.6635915,-0.00274749775,-0.00274749775,0.0,0.0
-0.6635915,-0.00274749775,-0.00274749775,1.0,1.0,-0.66706717,-0.0017378221,-0.0017378221,0.0,0.0
-0.66706717,-0.0017378221,-0.0017378221,0.5,0.5,-0.6694997,-0.0012162733,-0.0012162733,0.0,0.0
-0.6694997,-0.0012162733,-0.0012162733,0.5,0.5,-0.6708726,-0.0006864483,-0.0006864483,0.0,0.0
-0.6708726,-0.0006864483,-0.0006864483,1.0,1.0,-0.67017657,0.00034803515,0.00034803515,0.0,0.0
-0.67017657,0.00034803515,0.00034803515,0.0,0.0,-0.66941625,0.00038015785,0.00038015785,0.0,0.0
-0.66941625,0.00038015785,0.00038015785,0.5,0.5,-0.6675968,0.00090969925,0.00090969925,0.0,0.0
-0.6675968,0.00090969925,0.00090969925,1.0,1.0,-0.66373074,0.00193305245,0.00193305245,0.0,0.0
-0.66373074,0.00193305245,0.00193305245,0.0,0.0,-0.65984434,0.0019432048,0.0019432048,0.0,0.0
-0.65984434,0.0019432048,0.0019432048,0.0,0.0,-0.65596426,0.0019400177,0.0019400177,0.0,0.0
-0.65596426,0.0019400177,0.0019400177,0.5,0.5,-0.6511174,0.0024234457,0.0024234457,0.0,0.0
-0.6511174,0.0024234457,0.0024234457,0.0,0.0,-0.6463373,0.00239006175,0.00239006175,0.0,0.0
-0.6463373,0.00239006175,0.00239006175,0.5,0.5,-0.64065725,0.0028400005,0.0028400005,0.0,0.0
-0.64065725,0.0028400005,0.0028400005,0.0,0.0,-0.63511723,0.0027700027,0.0027700027,0.0,0.0
-0.63511723,0.0027700027,0.0027700027,0.5,0.5,-0.6287564,0.00318043935,0.00318043935,0.0,0.0
-0.6287564,0.00318043935,0.00318043935,0.5,0.5,-0.6216198,0.00356827185,0.00356827185,0.0,0.0
-0.6216198,0.00356827185,0.00356827185,1.0,1.0,-0.6127587,0.004430576,0.004430576,0.0,0.0
-0.6127587,0.004430576,0.004430576,0.5,0.5,-0.6032368,0.004760953,0.004760953,0.0,0.0
-0.6032368,0.004760953,0.004760953,1.0,1.0,-0.59212327,0.0055567625,0.0055567625,0.0,0.0
-0.59212327,0.0055567625,0.0055567625,0.0,0.0,-0.5814994,0.005311923,0.005311923,0.0,0.0
-0.5814994,0.005311923,0.005311923,1.0,1.0,-0.56944346,0.00602796,0.00602796,0.0,0.0
-0.56944346,0.00602796,0.00602796,0.0,0.0,-0.5580448,0.0056993365,0.0056993365,0.0,0.0
-0.5580448,0.0056993365,0.0056993365,0.5,0.5,-0.54638827,0.0058282795,0.0058282795,0.0,0.0
-0.54638827,0.0058282795,0.0058282795,1.0,1.0,-0.53356093,0.0064136735,0.0064136735,0.0,0.0
-0.53356093,0.0064136735,0.0064136735,0.0,0.0,-0.52165884,0.005951026,0.005951026,0.0,0.0
-0.52165884,0.005951026,0.005951026,0.0,0.0,-0.51077133,0.0054437515,0.0054437515,0.0,0.0
-0.51077133,0.0054437515,0.0054437515,1.0,1.0,-0.49898005,0.00589566025,0.00589566025,0.0,0.0
-0.49898005,0.00589566025,0.00589566025,1.0,1.0,-0.4863732,0.0063034235,0.0063034235,0.0,0.0
-0.4863732,0.0063034235,0.0063034235,0.0,0.0,-0.47504494,0.0056641175,0.0056641175,0.0,0.0
-0.47504494,0.0056641175,0.0056641175,0.5,0.5,-0.4640796,0.005482684,0.005482684,0.0,0.0
-0.4640796,0.005482684,0.005482684,0.5,0.5,-0.45355824,0.0052606715,0.0052606715,0.0,0.0
-0.45355824,0.0052606715,0.0052606715,0.0,0.0,-0.44455835,0.0044999475,0.0044999475,0.0,0.0
-0.44455835,0.0044999475,0.0044999475,0.0,0.0,-0.4371457,0.00370631575,0.00370631575,0.0,0.0
-0.4371457,0.00370631575,0.00370631575,0.0,0.0,-0.43137422,0.0028857393,0.0028857393,0.0,0.0
-0.43137422,0.0028857393,0.0028857393,0.5,0.5,-0.42628565,0.0025442927,0.0025442927,0.0,0.0
-0.42628565,0.0025442927,0.0025442927,0.5,0.5,-0.42191657,0.00218453,0.00218453,0.0,0.0
-0.42191657,0.00218453,0.00218453,0.0,0.0,-0.41929838,0.0013091081,0.0013091081,0.0,0.0
-0.41929838,0.0013091081,0.0013091081,0.0,0.0,-0.4184497,0.00042433275,0.00042433275,0.0,0.0
-0.4184497,0.00042433275,0.00042433275,0.5,0.5,-0.41837665,3.6530685e-05,3.6530685e-05,0.0,0.0
-0.41837665,3.6530685e-05,3.6530685e-05,0.0,0.0,-0.4200797,-0.0008515318,-0.0008515318,0.0,0.0
-0.4200797,-0.0008515318,-0.0008515318,0.0,0.0,-0.42354673,-0.0017335183,-0.0017335183,0.0,0.0
-0.42354673,-0.0017335183,-0.0017335183,0.5,0.5,-0.42775294,-0.002103105,-0.002103105,0.0,0.0
-0.42775294,-0.002103105,-0.002103105,1.0,1.0,-0.43166813,-0.00195759465,-0.00195759465,0.0,0.0
-0.43166813,-0.00195759465,-0.00195759465,1.0,1.0,-0.4352641,-0.00179798085,-0.00179798085,0.0,0.0
-0.4352641,-0.00179798085,-0.00179798085,0.5,0.5,-0.43951485,-0.0021253722,-0.0021253722,0.0,0.0
-0.43951485,-0.0021253722,-0.0021253722,0.0,0.0,-0.44538957,-0.0029373537,-0.0029373537,0.0,0.0
-0.44538957,-0.0029373537,-0.0029373537,0.5,0.5,-0.45184547,-0.00322795475,-0.00322795475,0.0,0.0
-0.45184547,-0.00322795475,-0.00322795475,0.0,0.0,-0.45983538,-0.0039949565,-0.0039949565,0.0,0.0
-0.45983538,-0.0039949565,-0.0039949565,0.5,0.5,-0.4683006,-0.0042326135,-0.0042326135,0.0,0.0
-0.4683006,-0.0042326135,-0.0042326135,0.0,0.0,-0.47817868,-0.004939032,-0.004939032,0.0,0.0
-0.47817868,-0.004939032,-0.004939032,1.0,1.0,-0.48739633,-0.004608831,-0.004608831,0.0,0.0
-0.48739633,-0.004608831,-0.004608831,0.5,0.5,-0.49688497,-0.004744323,-0.004744323,0.0,0.0
-0.49688497,-0.004744323,-0.004744323,0.5,0.5,-0.50657374,-0.0048443925,-0.0048443925,0.0,0.0
-0.50657374,-0.0048443925,-0.0048443925,0.5,0.5,-0.5163902,-0.00490820875,-0.00490820875,0.0,0.0
-0.5163902,-0.00490820875,-0.00490820875,0.0,0.0,-0.52726066,-0.005435239,-0.005435239,0.0,0.0
-0.52726066,-0.005435239,-0.005435239,0.0,0.0,-0.5391037,-0.00592150725,-0.00592150725,0.0,0.0
