x1,x2,a,x11,x12,r,d
-0.44906503,0.0,0,-0.4506194,-0.0015543565,1,0
-0.4506194,-0.0015543565,2,-0.45171672,-0.0010973397,0,0
-0.45171672,-0.0010973397,0,-0.454349,-0.0026322864,0,0
-0.454349,-0.0026322864,0,-0.45849696,-0.0041479315,0,0
-0.45849696,-0.0041479315,0,-0.46413004,-0.005633097,0,0
-0.46413004,-0.005633097,0,-0.47120678,-0.0070767505,0,0
-0.47120678,-0.0070767505,1,-0.47867486,-0.0074680746,0,0
-0.47867486,-0.0074680746,0,-0.48747885,-0.008803985,0,0
-0.48747885,-0.008803985,1,-0.4965532,-0.009074355,0,0
-0.4965532,-0.009074355,2,-0.5048302,-0.008276974,0,0
-0.5048302,-0.008276974,1,-0.51324785,-0.008417664,0,0
-0.51324785,-0.008417664,0,-0.5227431,-0.0094952835,0,0
-0.5227431,-0.0094952835,0,-0.53324485,-0.0105017,0,0
-0.53324485,-0.0105017,1,-0.5436742,-0.010429366,0,0
-0.5436742,-0.010429366,0,-0.5549531,-0.011278891,0,0
-0.5549531,-0.011278891,1,-0.5659972,-0.01104408,0,0
-0.5659972,-0.01104408,1,-0.5767241,-0.010726949,0,0
-0.5767241,-0.010726949,0,-0.5880543,-0.011330193,0,0
-0.5880543,-0.011330193,0,-0.59990406,-0.011849783,0,0
-0.59990406,-0.011849783,2,-0.6101866,-0.010282479,0,0
-0.6101866,-0.010282479,1,-0.6198269,-0.009640349,0,0
-0.6198269,-0.009640349,0,-0.62975556,-0.009928621,0,0
-0.62975556,-0.009928621,2,-0.63790137,-0.008145836,0,0
-0.63790137,-0.008145836,1,-0.64520663,-0.007305268,0,0
-0.64520663,-0.007305268,1,-0.65162,-0.006413307,0,0
-0.65162,-0.006413307,0,-0.65809655,-0.0064765792,0,0
-0.65809655,-0.0064765792,1,-0.6635915,-0.0054949955,0,0
-0.6635915,-0.0054949955,2,-0.66706717,-0.0034756442,0,0
-0.66706717,-0.0034756442,1,-0.6694997,-0.0024325466,0,0
-0.6694997,-0.0024325466,1,-0.6708726,-0.0013728966,0,0
-0.6708726,-0.0013728966,2,-0.67017657,0.0006960703,0,0
-0.67017657,0.0006960703,0,-0.66941625,0.0007603157,0,0
-0.66941625,0.0007603157,1,-0.6675968,0.0018193985,0,0
-0.6675968,0.0018193985,2,-0.66373074,0.0038661049,0,0
-0.66373074,0.0038661049,0,-0.65984434,0.0038864096,0,0
-0.65984434,0.0038864096,0,-0.65596426,0.0038800354,0,0
-0.65596426,0.0038800354,1,-0.6511174,0.0048468914,0,0
-0.6511174,0.0048468914,0,-0.6463373,0.0047801235,0,0
-0.6463373,0.0047801235,1,-0.64065725,0.005680001,0,0
-0.64065725,0.005680001,0,-0.63511723,0.0055400054,0,0
-0.63511723,0.0055400054,1,-0.6287564,0.0063608787,0,0
-0.6287564,0.0063608787,1,-0.6216198,0.0071365437,0,0
-0.6216198,0.0071365437,2,-0.6127587,0.008861152,0,0
-0.6127587,0.008861152,1,-0.6032368,0.009521906,0,0
-0.6032368,0.009521906,2,-0.59212327,0.011113525,0,0
-0.59212327,0.011113525,0,-0.5814994,0.010623846,0,0
-0.5814994,0.010623846,2,-0.56944346,0.01205592,0,0
-0.56944346,0.01205592,0,-0.5580448,0.011398673,0,0
-0.5580448,0.011398673,1,-0.54638827,0.011656559,0,0
-0.54638827,0.011656559,2,-0.53356093,0.012827347,0,0
-0.53356093,0.012827347,0,-0.52165884,0.011902052,0,0
-0.52165884,0.011902052,0,-0.51077133,0.010887503,0,0
-0.51077133,0.010887503,2,-0.49898005,0.0117913205,0,0
-0.49898005,0.0117913205,2,-0.4863732,0.012606847,0,0
-0.4863732,0.012606847,0,-0.47504494,0.011328235,0,0
-0.47504494,0.011328235,1,-0.4640796,0.010965368,0,0
-0.4640796,0.010965368,1,-0.45355824,0.010521343,0,0
-0.45355824,0.010521343,0,-0.44455835,0.008999895,0,0
-0.44455835,0.008999895,0,-0.4371457,0.0074126315,0,0
-0.4371457,0.0074126315,0,-0.43137422,0.0057714786,0,0
-0.43137422,0.0057714786,1,-0.42628565,0.0050885854,0,0
-0.42628565,0.0050885854,1,-0.42191657,0.00436906,0,0
-0.42191657,0.00436906,0,-0.41929838,0.0026182162,0,0
-0.41929838,0.0026182162,0,-0.4184497,0.0008486655,0,0
-0.4184497,0.0008486655,1,-0.41837665,7.306137e-05,0,0
-0.41837665,7.306137e-05,0,-0.4200797,-0.0017030636,0,0
-0.4200797,-0.0017030636,0,-0.42354673,-0.0034670366,0,0
-0.42354673,-0.0034670366,1,-0.42775294,-0.00420621,0,0
-0.42775294,-0.00420621,2,-0.43166813,-0.0039151893,0,0
-0.43166813,-0.0039151893,2,-0.4352641,-0.0035959617,0,0
-0.4352641,-0.0035959617,1,-0.43951485,-0.0042507444,0,0
-0.43951485,-0.0042507444,0,-0.44538957,-0.0058747074,0,0
-0.44538957,-0.0058747074,1,-0.45184547,-0.0064559095,0,0
-0.45184547,-0.0064559095,0,-0.45983538,-0.007989913,0,0
-0.45983538,-0.007989913,1,-0.4683006,-0.008465227,0,0
-0.4683006,-0.008465227,0,-0.47817868,-0.009878064,0,0
-0.47817868,-0.009878064,2,-0.48739633,-0.009217662,0,0
-0.48739633,-0.009217662,1,-0.49688497,-0.009488646,0,0
-0.49688497,-0.009488646,1,-0.50657374,-0.009688785,0,0
-0.50657374,-0.009688785,1,-0.5163902,-0.0098164175,0,0
-0.5163902,-0.0098164175,0,-0.52726066,-0.010870478,0,0
-0.52726066,-0.010870478,0,-0.5391037,-0.0118430145,0,0
-0.5391037,-0.0118430145,1,-0.5508304,-0.01172677,0,0
-0.5508304,-0.01172677,0,-0.5633532,-0.012522759,0,0
-0.5633532,-0.012522759,1,-0.5755785,-0.0122253075,0,0
-0.5755785,-0.0122253075,0,-0.58841556,-0.012837037,0,0
-0.58841556,-0.012837037,0,-0.6017695,-0.013353969,0,0
-0.6017695,-0.013353969,0,-0.6155426,-0.013773047,0,0
-0.6155426,-0.013773047,2,-0.62763476,-0.012092181,0,0
-0.62763476,-0.012092181,0,-0.6399593,-0.012324517,0,0
-0.6399593,-0.012324517,2,-0.6504287,-0.01046943,0,0
-0.6504287,-0.01046943,2,-0.6589697,-0.008540992,0,0
-0.6589697,-0.008540992,1,-0.66652304,-0.007553389,0,0
-0.66652304,-0.007553389,0,-0.6740371,-0.007514001,0,0
-0.6740371,-0.007514001,1,-0.6804607,-0.0064236284,0,0
-0.6804607,-0.0064236284,2,-0.6847508,-0.004290107,0,0
-0.6847508,-0.004290107,2,-0.6868788,-0.0021280022,0,0
-0.6868788,-0.0021280022,0,-0.6888306,-0.0019517902,0,0
-0.6888306,-0.0019517902,0,-0.6905933,-0.0017626814,0,0
-0.6905933,-0.0017626814,2,-0.69015527,0.00043803963,0,0
-0.69015527,0.00043803963,2,-0.6875194,0.002635878,0,0
-0.6875194,0.002635878,1,-0.683703,0.003816327,0,0
-0.683703,0.003816327,2,-0.6777316,0.0059714685,0,0
-0.6777316,0.0059714685,0,-0.67164487,0.0060867085,0,0
-0.67164487,0.0060867085,0,-0.66548395,0.006160908,0,0
-0.66548395,0.006160908,2,-0.65729076,0.008193202,0,0
-0.65729076,0.008193202,1,-0.64812154,0.009169226,0,0
-0.64812154,0.009169226,2,-0.63703996,0.011081575,0,0
-0.63703996,0.011081575,1,-0.6251239,0.011916055,0,0
-0.6251239,0.011916055,0,-0.6134581,0.011665775,0,0
-0.6134581,0.011665775,2,-0.6001265,0.013331587,0,0
-0.6001265,0.013331587,0,-0.58722603,0.012900516,0,0
-0.58722603,0.012900516,0,-0.57485116,0.012374829,0,0
-0.57485116,0.012374829,2,-0.56109345,0.0137577085,0,0
-0.56109345,0.0137577085,1,-0.5470551,0.014038326,0,0
-0.5470551,0.014038326,2,-0.53184104,0.015214104,0,0
-0.53184104,0.015214104,1,-0.51656514,0.015275914,0,0
-0.51656514,0.015275914,2,-0.50034195,0.016223166,0,0
-0.50034195,0.016223166,1,-0.48429307,0.016048882,0,0
-0.48429307,0.016048882,0,-0.4695383,0.014754771,0,0
-0.4695383,0.014754771,2,-0.4541872,0.015351093,0,0
-0.4541872,0.015351093,2,-0.43835294,0.01583426,0,0
-0.43835294,0.01583426,0,-0.4241511,0.014201863,0,0
-0.4241511,0.014201863,2,-0.40968406,0.0144670205,0,0
-0.40968406,0.0144670205,0,-0.39705488,0.012629194,0,0
-0.39705488,0.012629194,0,-0.38635212,0.010702748,0,0
-0.38635212,0.010702748,1,-0.3766499,0.009702236,0,0
-0.3766499,0.009702236,0,-0.3690144,0.0076354733,0,0
-0.3690144,0.0076354733,0,-0.36349723,0.0055172034,0,0
-0.36349723,0.0055172034,2,-0.35813513,0.00536208,0,0
-0.35813513,0.00536208,1,-0.3539637,0.0041714422,0,0
-0.3539637,0.0041714422,1,-0.3510103,0.0029533885,0,0
-0.3510103,0.0029533885,0,-0.35029426,0.0007160392,0,0
-0.35029426,0.0007160392,0,-0.35182023,-0.0015259736,0,0
-0.35182023,-0.0015259736,0,-0.35557827,-0.0037580407,0,0
-0.35557827,-0.0037580407,0,-0.36154377,-0.0059655053,0,0
-0.36154377,-0.0059655053,2,-0.3676774,-0.006133602,0,0
-0.3676774,-0.006133602,0,-0.3759382,-0.008260831,0,0
-0.3759382,-0.008260831,0,-0.38627064,-0.01033242,0,0
-0.38627064,-0.01033242,2,-0.39660412,-0.010333491,0,0
-0.39660412,-0.010333491,1,-0.4078672,-0.011263076,0,0
-0.4078672,-0.011263076,1,-0.41998094,-0.012113729,0,0
-0.41998094,-0.012113729,2,-0.43185934,-0.011878408,0,0
-0.43185934,-0.011878408,2,-0.44341713,-0.0115578,0,0
-0.44341713,-0.0115578,1,-0.45557052,-0.01215338,0,0
-0.45557052,-0.01215338,1,-0.46823058,-0.012660057,0,0
-0.46823058,-0.012660057,0,-0.48230398,-0.014073412,0,0
-0.48230398,-0.014073412,1,-0.4966863,-0.014382331,0,0
-0.4966863,-0.014382331,0,-0.5122703,-0.015583955,0,0
-0.5122703,-0.015583955,1,-0.5279392,-0.015668903,0,0
-0.5279392,-0.015668903,0,-0.5445755,-0.016636351,0,0
-0.5445755,-0.016636351,2,-0.56005466,-0.015479129,0,0
