x1,x1_,x2,x3,x4,a1,a2,x11,x11_,x12,x13,x14,r,d
-0.4314606,-0.4314606,0.25266925,0.25266925,-0.04070674,0.287414075,0.287414075,-0.4346108,-0.4346108,0.24721135,0.24721135,0.2520729,1.0,0.0
-0.4346108,-0.4346108,0.24721135,0.24721135,0.2520729,-0.08371462,-0.08371462,-0.442391,-0.442391,0.23300259,0.23300259,0.6480043,0.0,0.0
-0.442391,-0.442391,0.23300259,0.23300259,0.6480043,0.47705072,0.47705072,-0.45193815,-0.45193815,0.21389696,0.21389696,0.854393,0.0,0.0
-0.45193815,-0.45193815,0.21389696,0.21389696,0.854393,-0.086378075,-0.086378075,-0.46396175,-0.46396175,0.18638532,0.18638532,1.2011518,0.0,0.0
-0.46396175,-0.46396175,0.18638532,0.18638532,1.2011518,0.099696815,0.099696815,-0.4762503,-0.4762503,0.15226838,0.15226838,1.4508208,0.0,0.0
-0.4762503,-0.4762503,0.15226838,0.15226838,1.4508208,-0.59081485,-0.59081485,-0.488313825,-0.488313825,0.107469155,0.107469155,1.8564678,0.0,0.0
-0.488313825,-0.488313825,0.107469155,0.107469155,1.8564678,0.51388375,0.51388375,-0.49619465,-0.49619465,0.061569995,0.061569995,1.8635064,0.0,0.0
-0.49619465,-0.49619465,0.061569995,0.061569995,1.8635064,0.52758855,0.52758855,-0.49971822,-0.49971822,0.016783895,0.016783895,1.7975848,0.0,0.0
-0.49971822,-0.49971822,0.016783895,0.016783895,1.7975848,0.6439795,0.6439795,-0.4994264,-0.4994264,-0.0239429625,-0.0239429625,1.6295668,0.0,0.0
-0.4994264,-0.4994264,-0.0239429625,-0.0239429625,1.6295668,-0.96290125,-0.96290125,-0.4949653,-0.4949653,-0.07077667,-0.07077667,1.8825227,0.0,0.0
-0.4949653,-0.4949653,-0.07077667,-0.07077667,1.8825227,-0.06827149,-0.06827149,-0.4866189,-0.4866189,-0.11490008,-0.11490008,1.7968392,0.0,0.0
-0.4866189,-0.4866189,-0.11490008,-0.11490008,1.7968392,0.33337895,0.33337895,-0.4764563,-0.4764563,-0.151622475,-0.151622475,1.5244753,0.0,0.0
-0.4764563,-0.4764563,-0.151622475,-0.151622475,1.5244753,-0.8696521,-0.8696521,-0.46321252,-0.46321252,-0.18823962,-0.18823962,1.5579373,0.0,0.0
-0.46321252,-0.46321252,-0.18823962,-0.18823962,1.5579373,0.0382406675,0.0382406675,-0.45039775,-0.45039775,-0.217121735,-0.217121735,1.2641057,0.0,0.0
-0.45039775,-0.45039775,-0.217121735,-0.217121735,1.2641057,-0.3464045,-0.3464045,-0.43847555,-0.43847555,-0.24028978,-0.24028978,1.0423445,0.0,0.0
-0.43847555,-0.43847555,-0.24028978,-0.24028978,1.0423445,0.9213581,0.9213581,-0.43351388,-0.43351388,-0.249129935,-0.249129935,0.40550232,0.0,0.0
-0.43351388,-0.43351388,-0.249129935,-0.249129935,0.40550232,-0.88373105,-0.88373105,-0.42976758,-0.42976758,-0.25553835,-0.25553835,0.29692674,0.0,0.0
-0.42976758,-0.42976758,-0.25553835,-0.25553835,0.29692674,0.61238315,0.61238315,-0.43317925,-0.43317925,-0.24971129,-0.24971129,-0.27009568,0.0,0.0
-0.43317925,-0.43317925,-0.24971129,-0.24971129,-0.27009568,0.60139835,0.60139835,-0.4431094,-0.4431094,-0.23163347,-0.23163347,-0.8250821,0.0,0.0
-0.4431094,-0.4431094,-0.23163347,-0.23163347,-0.8250821,-0.42327315,-0.42327315,-0.45460775,-0.45460775,-0.20816292,-0.20816292,-1.0455503,0.0,0.0
-0.45460775,-0.45460775,-0.20816292,-0.20816292,-1.0455503,-0.6391521,-0.6391521,-0.46596485,-0.46596485,-0.18131949,-0.18131949,-1.1660491,0.0,0.0
-0.46596485,-0.46596485,-0.18131949,-0.18131949,-1.1660491,0.67514875,0.67514875,-0.47925478,-0.47925478,-0.14253019,-0.14253019,-1.640573,0.0,0.0
-0.47925478,-0.47925478,-0.14253019,-0.14253019,-1.640573,-0.2950232,-0.2950232,-0.48995602,-0.48995602,-0.099715075,-0.099715075,-1.7658613,0.0,0.0
-0.48995602,-0.48995602,-0.099715075,-0.099715075,-1.7658613,-0.95107065,-0.95107065,-0.49644783,-0.49644783,-0.05949407,-0.05949407,-1.6301126,0.0,0.0
-0.49644783,-0.49644783,-0.05949407,-0.05949407,-1.6301126,-0.9192962,-0.9192962,-0.499445675,-0.499445675,-0.0235375335,-0.0235375335,-1.4435649,0.0,0.0
-0.499445675,-0.499445675,-0.0235375335,-0.0235375335,-1.4435649,-0.2020003,-0.2020003,-0.49985815,-0.49985815,0.011909417,0.011909417,-1.4182712,0.0,0.0
-0.49985815,-0.49985815,0.011909417,0.011909417,-1.4182712,0.7037733,0.7037733,-0.49727775,-0.49727775,0.05210425,0.05210425,-1.611539,0.0,0.0
-0.49727775,-0.49727775,0.05210425,0.05210425,-1.611539,0.987006,0.987006,-0.49043915,-0.49043915,0.097311095,0.097311095,-1.8294845,0.0,0.0
-0.49043915,-0.49043915,0.097311095,0.097311095,-1.8294845,-0.4163381,-0.4163381,-0.48137477,-0.48137477,0.1351974,0.1351974,-1.5586164,0.0,0.0
-0.48137477,-0.48137477,0.1351974,0.1351974,-1.5586164,-0.8220154,-0.8220154,-0.4731403,-0.4731403,0.161673265,0.161673265,-1.1092156,0.0,0.0
-0.4731403,-0.4731403,0.161673265,0.161673265,-1.1092156,-0.409285365,-0.409285365,-0.46680085,-0.46680085,0.1791563,0.1791563,-0.74392015,0.0,0.0
-0.46680085,-0.46680085,0.1791563,0.1791563,-0.74392015,-0.45866935,-0.45866935,-0.46371045,-0.46371045,0.18700966,0.18700966,-0.33758488,0.0,0.0
-0.46371045,-0.46371045,0.18700966,0.18700966,-0.33758488,-0.32873845,-0.32873845,-0.464097975,-0.464097975,0.18604587,0.18604587,0.041551128,0.0,0.0
-0.464097975,-0.464097975,0.18604587,0.18604587,0.041551128,-0.221854775,-0.221854775,-0.467612415,-0.467612415,0.17702718,0.17702718,0.38717636,0.0,0.0
-0.467612415,-0.467612415,0.17702718,0.17702718,0.38717636,0.3380551,0.3380551,-0.4723139,-0.4723139,0.164071815,0.164071815,0.5513006,0.0,0.0
-0.4723139,-0.4723139,0.164071815,0.164071815,0.5513006,0.2843895,0.2843895,-0.47785505,-0.47785505,0.14715484,0.14715484,0.71209145,0.0,0.0
-0.47785505,-0.47785505,0.14715484,0.14715484,0.71209145,-0.6023048,-0.6023048,-0.48530335,-0.48530335,0.12033563,0.12033563,1.1135151,0.0,0.0
-0.48530335,-0.48530335,0.12033563,0.12033563,1.1135151,-0.54111045,-0.54111045,-0.492772075,-0.492772075,0.08470934,0.08470934,1.4563518,0.0,0.0
-0.492772075,-0.492772075,0.08470934,0.08470934,1.4563518,0.6902601,0.6902601,-0.49743055,-0.49743055,0.050624553,0.050624553,1.3763378,0.0,0.0
-0.49743055,-0.49743055,0.050624553,0.050624553,1.3763378,0.34870395,0.34870395,-0.49971035,-0.49971035,0.01701658,0.01701658,1.3476634,0.0,0.0
-0.49971035,-0.49971035,0.01701658,0.01701658,1.3476634,-0.8068042,-0.8068042,-0.49945438,-0.49945438,-0.0233523735,-0.0233523735,1.6152295,0.0,0.0
-0.49945438,-0.49945438,-0.0233523735,-0.0233523735,1.6152295,-0.41555375,-0.41555375,-0.495652615,-0.495652615,-0.065791205,-0.065791205,1.7048671,0.0,0.0
-0.495652615,-0.495652615,-0.065791205,-0.065791205,1.7048671,0.287727175,0.287727175,-0.489227265,-0.489227265,-0.103231265,-0.103231265,1.519862,0.0,0.0
-0.489227265,-0.489227265,-0.103231265,-0.103231265,1.519862,-0.18684079,-0.18684079,-0.480664075,-0.480664075,-0.1377028,-0.1377028,1.4210675,0.0,0.0
-0.480664075,-0.480664075,-0.1377028,-0.1377028,1.4210675,0.6173852,0.6173852,-0.47294393,-0.47294393,-0.16224687,-0.16224687,1.0292977,0.0,0.0
-0.47294393,-0.47294393,-0.16224687,-0.16224687,1.0292977,-0.2461926,-0.2461926,-0.46553425,-0.46553425,-0.18242222,-0.18242222,0.8597852,0.0,0.0
-0.46553425,-0.46553425,-0.18242222,-0.18242222,0.8597852,-0.37102645,-0.37102645,-0.4588909,-0.4588909,-0.19854258,-0.19854258,0.6974598,0.0,0.0
-0.4588909,-0.4588909,-0.19854258,-0.19854258,0.6974598,-0.7304459,-0.7304459,-0.45252955,-0.45252955,-0.212642925,-0.212642925,0.61877966,0.0,0.0
-0.45252955,-0.45252955,-0.212642925,-0.212642925,0.61877966,0.4044517,0.4044517,-0.450613915,-0.450613915,-0.21667278,-0.21667278,0.17847979,0.0,0.0
-0.450613915,-0.450613915,-0.21667278,-0.21667278,0.17847979,0.99370255,0.99370255,-0.45531925,-0.45531925,-0.206602,-0.206602,-0.44464013,0.0,0.0
-0.45531925,-0.45531925,-0.206602,-0.206602,-0.44464013,0.83630765,0.83630765,-0.4651259,-0.4651259,-0.18346092,-0.18346092,-1.0054355,0.0,0.0
-0.4651259,-0.4651259,-0.18346092,-0.18346092,-1.0054355,-0.85567985,-0.85567985,-0.47390485,-0.47390485,-0.1594183,-0.1594183,-1.0239228,0.0,0.0
-0.47390485,-0.47390485,-0.1594183,-0.1594183,-1.0239228,0.1090826,0.1090826,-0.48323187,-0.48323187,-0.12840159,-0.12840159,-1.295775,0.0,0.0
-0.48323187,-0.48323187,-0.12840159,-0.12840159,-1.295775,0.044984672,0.044984672,-0.4915031,-0.4915031,-0.09178619,-0.09178619,-1.5018729,0.0,0.0
-0.4915031,-0.4915031,-0.09178619,-0.09178619,-1.5018729,0.8947709,0.8947709,-0.49801125,-0.49801125,-0.044550935,-0.044550935,-1.9079834,0.0,0.0
-0.49801125,-0.49801125,-0.044550935,-0.044550935,-1.9079834,0.6998577,0.6998577,-0.499899835,-0.499899835,0.0100084125,0.0100084125,-2.1847672,0.0,0.0
-0.499899835,-0.499899835,0.0100084125,0.0100084125,-2.1847672,-0.6152933,-0.6152933,-0.4964475,-0.4964475,0.059496935,0.059496935,-1.9851665,0.0,0.0
-0.4964475,-0.4964475,0.059496935,0.059496935,-1.9851665,0.7873584,0.7873584,-0.48729837,-0.48729837,0.11198347,0.11198347,-2.1321287,0.0,0.0
-0.48729837,-0.48729837,0.11198347,0.11198347,-2.1321287,-0.16194649,-0.16194649,-0.47435575,-0.47435575,0.15807159,0.15807159,-1.9155695,0.0,0.0
-0.47435575,-0.47435575,0.15807159,0.15807159,-1.9155695,-0.3665792,-0.3665792,-0.4605138,-0.4605138,0.194748685,0.194748685,-1.5684884,0.0,0.0
-0.4605138,-0.4605138,0.194748685,0.194748685,-1.5684884,-0.84338035,-0.84338035,-0.4499506,-0.4499506,0.21804689,0.21804689,-1.0233512,0.0,0.0
-0.4499506,-0.4499506,0.21804689,0.21804689,-1.0233512,0.6821202,0.6821202,-0.4396754,-0.4396754,0.238087265,0.238087265,-0.90091693,0.0,0.0
-0.4396754,-0.4396754,0.238087265,0.238087265,-0.90091693,-0.9928342,-0.9928342,-0.43671453,-0.43671453,0.24347572,0.24347572,-0.24593578,0.0,0.0
-0.43671453,-0.43671453,0.24347572,0.24347572,-0.24593578,-0.18462433,-0.18462433,-0.438824175,-0.438824175,0.23965255,0.23965255,0.17466511,0.0,0.0
-0.438824175,-0.438824175,0.23965255,0.23965255,0.17466511,0.196947915,0.196947915,-0.444392325,-0.444392325,0.22916255,0.22916255,0.47505954,0.0,0.0
-0.444392325,-0.444392325,0.22916255,0.22916255,0.47505954,0.18617478,0.18617478,-0.4528089,-0.4528089,0.21204746,0.21204746,0.7629509,0.0,0.0
-0.4528089,-0.4528089,0.21204746,0.21204746,0.7629509,-0.7457241,-0.7457241,-0.465669185,-0.465669185,0.182077465,0.182077465,1.3047394,0.0,0.0
-0.465669185,-0.465669185,0.182077465,0.182077465,1.3047394,0.97243255,0.97243255,-0.47640735,-0.47640735,0.1517763,0.1517763,1.2861258,0.0,0.0
-0.47640735,-0.47640735,0.1517763,0.1517763,1.2861258,-0.3129397,-0.3129397,-0.4870562,-0.4870562,0.113032095,0.113032095,1.6076721,0.0,0.0
-0.4870562,-0.4870562,0.113032095,0.113032095,1.6076721,0.49244465,0.49244465,-0.494639575,-0.494639575,0.07301845,0.07301845,1.6294868,0.0,0.0
-0.494639575,-0.494639575,0.07301845,0.07301845,1.6294868,0.6061187,0.6061187,-0.498820485,-0.498820485,0.034324025,0.034324025,1.557179,0.0,0.0
-0.498820485,-0.498820485,0.034324025,0.034324025,1.557179,-0.86556125,-0.86556125,-0.4998473,-0.4998473,-0.0123560345,-0.0123560345,1.8683333,0.0,0.0
-0.4998473,-0.4998473,-0.0123560345,-0.0123560345,1.8683333,-0.98840735,-0.98840735,-0.4956483,-0.4956483,-0.0658237,-0.0658237,2.1463215,0.0,0.0
-0.4956483,-0.4956483,-0.0658237,-0.0658237,2.1463215,0.92489525,0.92489525,-0.487890125,-0.487890125,-0.109376595,-0.109376595,1.7701174,0.0,0.0
-0.487890125,-0.487890125,-0.109376595,-0.109376595,1.7701174,-0.172433375,-0.172433375,-0.47715925,-0.47715925,-0.14939555,-0.14939555,1.6577826,0.0,0.0
-0.47715925,-0.47715925,-0.14939555,-0.14939555,1.6577826,0.3784701,0.3784701,-0.4662661,-0.4662661,-0.18054341,-0.18054341,1.3201481,0.0,0.0
