x1,x2,x3,x4,a1,a2,x11,x12,x13,x14,d,r
0.9978204,0.032994088,0.032994088,-0.03833282,0.7498557,0.7498557,0.9984688,0.0276589935,0.0276589935,-0.2137984,1.0,0.0
0.9984688,0.0276589935,0.0276589935,-0.2137984,0.6236872,0.6236872,0.9993016,0.0186833665,0.0186833665,-0.35941607,0.0,0.0
0.9993016,0.0186833665,0.0186833665,-0.35941607,0.52476305,0.52476305,0.9999164,0.006467039,0.006467039,-0.48881993,0.0,0.0
0.9999164,0.006467039,0.006467039,-0.48881993,0.8383952,0.8383952,0.9997216,-0.011797634,-0.011797634,-0.7306379,0.0,0.0
0.9997216,-0.011797634,-0.011797634,-0.7306379,-0.8724172,-0.8724172,0.99885166,-0.0239547865,-0.0239547865,-0.48660922,0.0,0.0
0.99885166,-0.0239547865,-0.0239547865,-0.48660922,-0.48057443,-0.48057443,0.9977666,-0.0333983,-0.0333983,-0.37836906,0.0,0.0
0.9977666,-0.0333983,-0.0333983,-0.37836906,-0.62083075,-0.62083075,0.9968845,-0.03943761,-0.03943761,-0.24221729,0.0,0.0
0.9968845,-0.03943761,-0.03943761,-0.24221729,-0.096101305,-0.096101305,0.9957171,-0.046226095,-0.046226095,-0.2725433,0.0,0.0
0.9957171,-0.046226095,-0.046226095,-0.2725433,0.425174775,0.425174775,0.993273,-0.057897895,-0.057897895,-0.4694349,0.0,0.0
0.993273,-0.057897895,-0.057897895,-0.4694349,-0.32592835,-0.32592835,0.99035764,-0.06926716,-0.06926716,-0.45850322,0.0,0.0
0.99035764,-0.06926716,-0.06926716,-0.45850322,-0.56135165,-0.56135165,0.98743653,-0.079008075,-0.079008075,-0.39399844,0.0,0.0
0.98743653,-0.079008075,-0.079008075,-0.39399844,-0.86647665,-0.86647665,0.98536235,-0.085236465,-0.085236465,-0.25256756,0.0,0.0
0.98536235,-0.085236465,-0.085236465,-0.25256756,-0.50508685,-0.50508685,0.9833468,-0.090869405,-0.090869405,-0.22889622,0.0,0.0
0.9833468,-0.090869405,-0.090869405,-0.22889622,-0.49817765,-0.49817765,0.9813292,-0.09616787,-0.09616787,-0.21574703,0.0,0.0
0.9813292,-0.09616787,-0.09616787,-0.21574703,0.5355741,0.5355741,0.97599006,-0.10890758,-0.10890758,-0.52067107,0.0,0.0
0.97599006,-0.10890758,-0.10890758,-0.52067107,-0.5383154,-0.5383154,0.96996677,-0.121618755,-0.121618755,-0.5225378,0.0,0.0
0.96996677,-0.121618755,-0.121618755,-0.5225378,-0.97113905,-0.97113905,0.96472925,-0.131622075,-0.131622075,-0.4136242,0.0,0.0
0.96472925,-0.131622075,-0.131622075,-0.4136242,-0.185782835,-0.185782835,0.9570491,-0.14496301,-0.14496301,-0.55532247,0.0,0.0
0.9570491,-0.14496301,-0.14496301,-0.55532247,-0.61115305,-0.61115305,0.94809026,-0.15900065,-0.15900065,-0.5894211,0.0,0.0
0.94809026,-0.15900065,-0.15900065,-0.5894211,0.7985306,0.7985306,0.9297752,-0.184063925,-0.184063925,-1.0674812,0.0,0.0
0.9297752,-0.184063925,-0.184063925,-1.0674812,-0.56769235,-0.56769235,0.9065925,-0.21100357,-0.21100357,-1.1732694,0.0,0.0
0.9065925,-0.21100357,-0.21100357,-1.1732694,0.14594768,0.14594768,0.8716017,-0.24510735,-0.24510735,-1.5335591,0.0,0.0
0.8716017,-0.24510735,-0.24510735,-1.5335591,-0.31442073,-0.31442073,0.823819,-0.2834265,-0.2834265,-1.806894,0.0,0.0
0.823819,-0.2834265,-0.2834265,-1.806894,0.5331465,0.5331465,0.7503006,-0.3305484,-0.3305484,-2.3919775,0.0,0.0
