x1,x2,x3,a,x11,x12,x13,r,d
-0.8629212,0.5053385,-0.04070674,-0.57482815,-0.8692216,0.4944227,0.2520729,1,0
-0.8692216,0.4944227,0.2520729,0.16742924,-0.884782,0.46600518,0.6480043,0,0
-0.884782,0.46600518,0.6480043,-0.95410144,-0.9038763,0.42779392,0.854393,0,0
-0.9038763,0.42779392,0.854393,0.17275615,-0.9279235,0.37277064,1.2011518,0,0
-0.9279235,0.37277064,1.2011518,-0.19939363,-0.9525006,0.30453676,1.4508208,0,0
-0.9525006,0.30453676,1.4508208,1.1816297,-0.97662765,0.21493831,1.8564678,0,0
-0.97662765,0.21493831,1.8564678,-1.0277675,-0.9923893,0.12313999,1.8635064,0,0
-0.9923893,0.12313999,1.8635064,-1.0551771,-0.99943644,0.03356779,1.7975848,0,0
-0.99943644,0.03356779,1.7975848,-1.287959,-0.9988528,-0.047885925,1.6295668,0,0
-0.9988528,-0.047885925,1.6295668,1.9258025,-0.9899306,-0.14155334,1.8825227,0,0
-0.9899306,-0.14155334,1.8825227,0.13654298,-0.9732378,-0.22980016,1.7968392,0,0
-0.9732378,-0.22980016,1.7968392,-0.6667579,-0.9529126,-0.30324495,1.5244753,0,0
-0.9529126,-0.30324495,1.5244753,1.7393042,-0.92642504,-0.37647924,1.5579373,0,0
-0.92642504,-0.37647924,1.5579373,-0.076481335,-0.9007955,-0.43424347,1.2641057,0,0
-0.9007955,-0.43424347,1.2641057,0.692809,-0.8769511,-0.48057956,1.0423445,0,0
-0.8769511,-0.48057956,1.0423445,-1.8427162,-0.86702776,-0.49825987,0.40550232,0,0
-0.86702776,-0.49825987,0.40550232,1.7674621,-0.85953516,-0.5110767,0.29692674,0,0
-0.85953516,-0.5110767,0.29692674,-1.2247663,-0.8663585,-0.49942258,-0.27009568,0,0
-0.8663585,-0.49942258,-0.27009568,-1.2027967,-0.8862188,-0.46326694,-0.8250821,0,0
-0.8862188,-0.46326694,-0.8250821,0.8465463,-0.9092155,-0.41632584,-1.0455503,0,0
-0.9092155,-0.41632584,-1.0455503,1.2783042,-0.9319297,-0.36263898,-1.1660491,0,0
-0.9319297,-0.36263898,-1.1660491,-1.3502975,-0.95850956,-0.28506038,-1.640573,0,0
-0.95850956,-0.28506038,-1.640573,0.5900464,-0.97991204,-0.19943015,-1.7658613,0,0
-0.97991204,-0.19943015,-1.7658613,1.9021413,-0.99289566,-0.11898814,-1.6301126,0,0
-0.99289566,-0.11898814,-1.6301126,1.8385924,-0.99889135,-0.047075067,-1.4435649,0,0
-0.99889135,-0.047075067,-1.4435649,0.4040006,-0.9997163,0.023818834,-1.4182712,0,0
-0.9997163,0.023818834,-1.4182712,-1.4075466,-0.9945555,0.1042085,-1.611539,0,0
-0.9945555,0.1042085,-1.611539,-1.974012,-0.9808783,0.19462219,-1.8294845,0,0
-0.9808783,0.19462219,-1.8294845,0.8326762,-0.96274954,0.2703948,-1.5586164,0,0
-0.96274954,0.2703948,-1.5586164,1.6440308,-0.9462806,0.32334653,-1.1092156,0,0
-0.9462806,0.32334653,-1.1092156,0.81857073,-0.9336017,0.3583126,-0.74392015,0,0
-0.9336017,0.3583126,-0.74392015,0.9173387,-0.9274209,0.37401932,-0.33758488,0,0
-0.9274209,0.37401932,-0.33758488,0.6574769,-0.92819595,0.37209174,0.041551128,0,0
-0.92819595,0.37209174,0.041551128,0.44370955,-0.93522483,0.35405436,0.38717636,0,0
-0.93522483,0.35405436,0.38717636,-0.6761102,-0.9446278,0.32814363,0.5513006,0,0
-0.9446278,0.32814363,0.5513006,-0.568779,-0.9557101,0.29430968,0.71209145,0,0
-0.9557101,0.29430968,0.71209145,1.2046096,-0.9706067,0.24067126,1.1135151,0,0
-0.9706067,0.24067126,1.1135151,1.0822209,-0.98554415,0.16941868,1.4563518,0,0
-0.98554415,0.16941868,1.4563518,-1.3805202,-0.9948611,0.101249106,1.3763378,0,0
-0.9948611,0.101249106,1.3763378,-0.6974079,-0.9994207,0.03403316,1.3476634,0,0
-0.9994207,0.03403316,1.3476634,1.6136084,-0.99890876,-0.046704747,1.6152295,0,0
-0.99890876,-0.046704747,1.6152295,0.8311075,-0.99130523,-0.13158241,1.7048671,0,0
-0.99130523,-0.13158241,1.7048671,-0.57545435,-0.97845453,-0.20646253,1.519862,0,0
-0.97845453,-0.20646253,1.519862,0.37368158,-0.96132815,-0.2754056,1.4210675,0,0
-0.96132815,-0.2754056,1.4210675,-1.2347704,-0.94588786,-0.32449374,1.0292977,0,0
-0.94588786,-0.32449374,1.0292977,0.4923852,-0.9310685,-0.36484444,0.8597852,0,0
-0.9310685,-0.36484444,0.8597852,0.7420529,-0.9177818,-0.39708516,0.6974598,0,0
-0.9177818,-0.39708516,0.6974598,1.4608918,-0.9050591,-0.42528585,0.61877966,0,0
-0.9050591,-0.42528585,0.61877966,-0.8089034,-0.90122783,-0.43334556,0.17847979,0,0
-0.90122783,-0.43334556,0.17847979,-1.9874051,-0.9106385,-0.413204,-0.44464013,0,0
-0.9106385,-0.413204,-0.44464013,-1.6726153,-0.9302518,-0.36692184,-1.0054355,0,0
-0.9302518,-0.36692184,-1.0054355,1.7113597,-0.9478097,-0.3188366,-1.0239228,0,0
-0.9478097,-0.3188366,-1.0239228,-0.2181652,-0.96646374,-0.25680318,-1.295775,0,0
-0.96646374,-0.25680318,-1.295775,-0.089969344,-0.9830062,-0.18357238,-1.5018729,0,0
-0.9830062,-0.18357238,-1.5018729,-1.7895418,-0.9960225,-0.08910187,-1.9079834,0,0
-0.9960225,-0.08910187,-1.9079834,-1.3997154,-0.99979967,0.020016825,-2.1847672,0,0
-0.99979967,0.020016825,-2.1847672,1.2305866,-0.992895,0.11899387,-1.9851665,0,0
-0.992895,0.11899387,-1.9851665,-1.5747168,-0.97459674,0.22396694,-2.1321287,0,0
-0.97459674,0.22396694,-2.1321287,0.32389298,-0.9487115,0.31614318,-1.9155695,0,0
-0.9487115,0.31614318,-1.9155695,0.7331584,-0.9210276,0.38949737,-1.5684884,0,0
-0.9210276,0.38949737,-1.5684884,1.6867607,-0.8999012,0.43609378,-1.0233512,0,0
-0.8999012,0.43609378,-1.0233512,-1.3642404,-0.8793508,0.47617453,-0.90091693,0,0
-0.8793508,0.47617453,-0.90091693,1.9856684,-0.87342906,0.48695144,-0.24593578,0,0
-0.87342906,0.48695144,-0.24593578,0.36924866,-0.87764835,0.4793051,0.17466511,0,0
-0.87764835,0.4793051,0.17466511,-0.39389583,-0.88878465,0.4583251,0.47505954,0,0
-0.88878465,0.4583251,0.47505954,-0.37234956,-0.9056178,0.42409492,0.7629509,0,0
-0.9056178,0.42409492,0.7629509,1.4914482,-0.93133837,0.36415493,1.3047394,0,0
-0.93133837,0.36415493,1.3047394,-1.9448651,-0.9528147,0.3035526,1.2861258,0,0
-0.9528147,0.3035526,1.2861258,0.6258794,-0.9741124,0.22606419,1.6076721,0,0
-0.9741124,0.22606419,1.6076721,-0.9848893,-0.98927915,0.1460369,1.6294868,0,0
-0.98927915,0.1460369,1.6294868,-1.2122374,-0.99764097,0.06864805,1.557179,0,0
-0.99764097,0.06864805,1.557179,1.7311225,-0.9996946,-0.024712069,1.8683333,0,0
-0.9996946,-0.024712069,1.8683333,1.9768147,-0.9912966,-0.1316474,2.1463215,0,0
-0.9912966,-0.1316474,2.1463215,-1.8497905,-0.97578025,-0.21875319,1.7701174,0,0
-0.97578025,-0.21875319,1.7701174,0.34486675,-0.9543185,-0.2987911,1.6577826,0,0
-0.9543185,-0.2987911,1.6577826,-0.7569402,-0.9325322,-0.36108682,1.3201481,0,0
-0.9325322,-0.36108682,1.3201481,1.6138016,-0.9072896,-0.42050624,1.2914033,0,0
-0.9072896,-0.42050624,1.2914033,1.2185726,-0.88141644,-0.47234,1.1588095,0,0
-0.88141644,-0.47234,1.1588095,0.5895923,-0.85945517,-0.5112111,0.89299333,0,0
-0.85945517,-0.5112111,0.89299333,-0.72932947,-0.8490549,-0.5283047,0.40018559,0,0
-0.8490549,-0.5283047,0.40018559,0.46092615,-0.8471183,-0.5314043,0.07309597,0,0
-0.8471183,-0.5314043,0.07309597,-0.7425203,-0.8585222,-0.51277643,-0.4368353,0,0
-0.8585222,-0.51277643,-0.4368353,0.91512203,-0.87555724,-0.48311433,-0.6841493,0,0
-0.87555724,-0.48311433,-0.6841493,-0.43546867,-0.9010474,-0.43372065,-1.1118054,0,0
-0.9010474,-0.43372065,-1.1118054,-1.205063,-0.93314755,-0.3594936,-1.6178553,0,0
-0.93314755,-0.3594936,-1.6178553,1.1648757,-0.96047634,-0.2783617,-1.7127442,0,0
-0.96047634,-0.2783617,-1.7127442,0.8358264,-0.9815709,-0.19109824,-1.7961415,0,0
-0.9815709,-0.19109824,-1.7961415,-0.5383381,-0.99583775,-0.09114344,-2.020216,0,0
-0.99583775,-0.09114344,-2.020216,0.4531824,-0.9999524,0.009759553,-2.020596,0,0
-0.9999524,0.009759553,-2.020596,-0.59967977,-0.99340385,0.11466834,-2.1032283,0,0
-0.99340385,0.11466834,-2.1032283,0.22834224,-0.9771744,0.21243867,-1.9829758,0,0
-0.9771744,0.21243867,-1.9829758,-1.8975236,-0.9493977,0.31407642,-2.1082754,0,0
-0.9493977,0.31407642,-2.1082754,-0.8950963,-0.9131571,0.4076078,-2.0069826,0,0
-0.9131571,0.4076078,-2.0069826,0.20442276,-0.87596506,0.48237455,-1.6706133,0,0
-0.87596506,0.48237455,-1.6706133,1.8237238,-0.8498334,0.5270514,-1.0352738,0,0
-0.8498334,0.5270514,-1.0352738,1.4630833,-0.8385645,0.54480225,-0.42052275,0,0
-0.8385645,0.54480225,-0.42052275,-0.8930139,-0.8345687,0.5509039,-0.14587313,0,0
-0.8345687,0.5509039,-0.14587313,-1.8621314,-0.8342376,0.5514052,-0.0120148845,0,0
-0.8342376,0.5514052,-0.0120148845,-1.010156,-0.8410652,0.5409337,0.25001562,0,0
-0.8410652,0.5409337,0.25001562,1.8097091,-0.86522955,0.5013759,0.9271723,0,0
-0.86522955,0.5013759,0.9271723,-1.5361621,-0.89086556,0.45426705,1.0727799,0,0
-0.89086556,0.45426705,1.0727799,0.8785794,-0.9232711,0.38414901,1.5452671,0,0
-0.9232711,0.38414901,1.5452671,0.35900655,-0.9553588,0.29544804,1.8872299,0,0
-0.9553588,0.29544804,1.8872299,-1.6622202,-0.9786621,0.20547625,1.8594829,0,0
-0.9786621,0.20547625,1.8594829,1.8665874,-0.995746,0.09214053,2.2935781,0,0
-0.995746,0.09214053,2.2935781,-1.1437198,-0.99985063,-0.01728401,2.1911256,0,0
-0.99985063,-0.01728401,2.1911256,1.9310119,-0.9901215,-0.14021206,2.4678144,0,0
-0.9901215,-0.14021206,2.4678144,0.41336334,-0.96589756,-0.2589245,2.4246597,0,0
-0.96589756,-0.2589245,2.4246597,0.31228936,-0.9302238,-0.3669927,2.27731,0,0
-0.9302238,-0.3669927,2.27731,-1.4175025,-0.8937112,-0.44864273,1.7894399,0,0
-0.8937112,-0.44864273,1.7894399,1.504076,-0.8529557,-0.5219833,1.6785693,0,0
-0.8529557,-0.5219833,1.6785693,0.030296583,-0.81749064,-0.57594186,1.2916263,0,0
-0.81749064,-0.57594186,1.2916263,-1.9181767,-0.8006883,-0.59908116,0.5719434,0,0
-0.8006883,-0.59908116,0.5719434,1.1864434,-0.7915941,-0.6110473,0.30059904,0,0
-0.7915941,-0.6110473,0.30059904,-1.690336,-0.8039901,-0.5946427,-0.41123685,0,0
-0.8039901,-0.5946427,-0.41123685,-0.46406314,-0.8306737,-0.5567596,-0.9268283,0,0
-0.8306737,-0.5567596,-0.9268283,-0.8246587,-0.8692689,-0.49433953,-1.4680969,0,0
-0.8692689,-0.49433953,-1.4680969,-0.8941875,-0.91372967,-0.40632266,-1.9729795,0,0
