x1, x2, x3, a, x11, x12, x13, r, d
0.9978204,0.065988176,-0.03833282,-1.4997114,0.9984688,0.055317987,-0.2137984,1,0
0.9984688,0.055317987,-0.2137984,-1.2473744,0.9993016,0.037366733,-0.35941607,0,0
0.9993016,0.037366733,-0.35941607,-1.0495261,0.9999164,0.012934078,-0.48881993,0,0
0.9999164,0.012934078,-0.48881993,-1.6767904,0.9997216,-0.023595268,-0.7306379,0,0
0.9997216,-0.023595268,-0.7306379,1.7448344,0.99885166,-0.047909573,-0.48660922,0,0
0.99885166,-0.047909573,-0.48660922,0.96114886,0.9977666,-0.0667966,-0.37836906,0,0
0.9977666,-0.0667966,-0.37836906,1.2416615,0.9968845,-0.07887522,-0.24221729,0,0
0.9968845,-0.07887522,-0.24221729,0.19220261,0.9957171,-0.09245219,-0.2725433,0,0
0.9957171,-0.09245219,-0.2725433,-0.85034955,0.993273,-0.11579579,-0.4694349,0,0
0.993273,-0.11579579,-0.4694349,0.6518567,0.99035764,-0.13853432,-0.45850322,0,0
0.99035764,-0.13853432,-0.45850322,1.1227033,0.98743653,-0.15801615,-0.39399844,0,0
0.98743653,-0.15801615,-0.39399844,1.7329533,0.98536235,-0.17047293,-0.25256756,0,0
0.98536235,-0.17047293,-0.25256756,1.0101737,0.9833468,-0.18173881,-0.22889622,0,0
0.9833468,-0.18173881,-0.22889622,0.9963553,0.9813292,-0.19233574,-0.21574703,0,0
0.9813292,-0.19233574,-0.21574703,-1.0711482,0.97599006,-0.21781516,-0.52067107,0,0
0.97599006,-0.21781516,-0.52067107,1.0766308,0.96996677,-0.24323751,-0.5225378,0,0
0.96996677,-0.24323751,-0.5225378,1.9422781,0.96472925,-0.26324415,-0.4136242,0,0
0.96472925,-0.26324415,-0.4136242,0.37156567,0.9570491,-0.28992602,-0.55532247,0,0
0.9570491,-0.28992602,-0.55532247,1.2223061,0.94809026,-0.3180013,-0.5894211,0,0
0.94809026,-0.3180013,-0.5894211,-1.5970612,0.9297752,-0.36812785,-1.0674812,0,0
0.9297752,-0.36812785,-1.0674812,1.1353847,0.9065925,-0.42200714,-1.1732694,0,0
0.9065925,-0.42200714,-1.1732694,-0.29189536,0.8716017,-0.4902147,-1.5335591,0,0
0.8716017,-0.4902147,-1.5335591,0.62884146,0.823819,-0.566853,-1.806894,0,0
0.823819,-0.566853,-1.806894,-1.066293,0.7503006,-0.6610968,-2.3919775,0,0
0.7503006,-0.6610968,-2.3919775,1.7235618,0.65716654,-0.75374544,-2.629266,0,0
0.65716654,-0.75374544,-2.629266,-1.4763718,0.51948816,-0.85447764,-3.4160306,0,0
0.51948816,-0.85447764,-3.4160306,1.80647,0.34942365,-0.93696487,-3.7859185,0,0
0.34942365,-0.93696487,-3.7859185,-1.6987506,0.11949694,-0.99283457,-4.743455,0,0
0.11949694,-0.99283457,-4.743455,-0.27465057,-0.15604046,-0.98775065,-5.5292783,0,0
-0.15604046,-0.98775065,-5.5292783,1.7479322,-0.441326,-0.89734685,-6.007901,0,0
-0.441326,-0.89734685,-6.007901,-1.4721624,-0.7188611,-0.6951537,-6.901736,0,0
-0.7188611,-0.6951537,-6.901736,1.7196205,-0.91697097,-0.39895397,-7.1651583,0,0
-0.91697097,-0.39895397,-7.1651583,-1.6246055,-0.9996882,-0.024970004,-7.7080646,0,0
-0.9996882,-0.024970004,-7.7080646,1.598339,-0.9395853,0.3423148,-7.487041,0,0
-0.9395853,0.3423148,-7.487041,1.775204,-0.76639855,0.6423654,-6.9640245,0,0
